index,Gene symbol,HGNC ID,UniProt ID(s)
303,ADCK2,HGNC:19039,Q7Z695
304,ADCK5,HGNC:21738,Q3MIX3
305,ADCY1,HGNC:232,Q08828
306,ADCY2,HGNC:233,Q08462
307,ADCY3,HGNC:234,O60266
308,ADCY4,HGNC:235,Q8NFM4
309,ADCY5,HGNC:236,O95622
310,ADCY6,HGNC:237,O43306
311,ADCY7,HGNC:238,P51828
312,ADCY8,HGNC:239,P40145
313,ADCY9,HGNC:240,O60503
314,ADCY10,HGNC:21285,Q96PN6
315,ADCYAP1,HGNC:241,P18509
316,ADCYAP1R1,HGNC:242,P41586
317,ADD1,HGNC:243,P35611
318,ADD2,HGNC:244,P35612
319,ADD3,HGNC:245,Q9UEY8
320,ADGB,HGNC:21212,Q8N7X0
321,ADGRA1,HGNC:13838,Q86SQ6
322,ADGRA2,HGNC:17849,Q96PE1
323,ADGRA3,HGNC:13839,Q8IWK6
324,ADGRB1,HGNC:943,O14514
325,ADGRB2,HGNC:944,O60241
326,ADGRB3,HGNC:945,O60242
327,ADGRD1,HGNC:19893,Q6QNK2
328,ADGRD2,HGNC:18651,Q7Z7M1
329,ADGRE1,HGNC:3336,Q14246
330,ADGRE2,HGNC:3337,Q9UHX3
331,ADGRE3,HGNC:23647,Q9BY15
332,ADGRE5,HGNC:1711,P48960
333,ADGRF1,HGNC:18990,Q5T601
334,ADGRF3,HGNC:18989,Q8IZF5
335,ADGRF4,HGNC:19011,Q8IZF3
336,ADGRF5,HGNC:19030,Q8IZF2
337,ADGRG1,HGNC:4512,Q9Y653
338,ADGRG2,HGNC:4516,Q8IZP9
339,ADGRG3,HGNC:13728,Q86Y34
340,ADGRG4,HGNC:18992,Q8IZF6
341,ADGRG5,HGNC:19010,Q8IZF4
342,ADGRG6,HGNC:13841,Q86SQ4
343,ADGRG7,HGNC:19241,Q96K78
344,ADGRL1,HGNC:20973,O94910
345,ADGRL2,HGNC:18582,O95490
346,ADGRL3,HGNC:20974,Q9HAR2
347,ADGRL4,HGNC:20822,Q9HBW9
348,ADGRV1,HGNC:17416,Q8WXG9
349,ADH1A,HGNC:249,P07327
350,ADH1B,HGNC:250,P00325
351,ADH1C,HGNC:251,P00326
352,ADH4,HGNC:252,P08319
353,ADH5,HGNC:253,P11766
354,ADH6,HGNC:255,P28332
355,ADH7,HGNC:256,P40394
356,ADHFE1,HGNC:16354,Q8IWW8
357,ADI1,HGNC:30576,Q9BV57
358,ADIG,HGNC:28606,Q0VDE8
359,ADIPOQ,HGNC:13633,Q15848
360,ADIPOR1,HGNC:24040,Q96A54
361,ADIPOR2,HGNC:24041,Q86V24
362,ADIRF,HGNC:24043,Q15847
363,ADISSP,HGNC:15873,Q9GZN8
364,ADK,HGNC:257,P55263
365,ADM,HGNC:259,P35318
366,ADM2,HGNC:28898,Q7Z4H4
367,ADM5,HGNC:27293,C9JUS6
368,ADNP,HGNC:15766,Q9H2P0
369,ADNP2,HGNC:23803,Q6IQ32
370,ADO,HGNC:23506,Q96SZ5
371,ADORA1,HGNC:262,P30542
372,ADORA2A,HGNC:263,P29274
373,ADORA2B,HGNC:264,P29275
374,ADORA3,HGNC:268,P0DMS8
375,ADPGK,HGNC:25250,Q9BRR6
376,ADPRH,HGNC:269,P54922
377,ADPRHL1,HGNC:21303,Q8NDY3
378,ADPRM,HGNC:30925,Q3LIE5
379,ADPRS,HGNC:21304,Q9NX46
380,ADRA1A,HGNC:277,P35348
381,ADRA1B,HGNC:278,P35368
382,ADRA1D,HGNC:280,P25100
383,ADRA2A,HGNC:281,P08913
384,ADRA2B,HGNC:282,P18089
385,ADRA2C,HGNC:283,P18825
386,ADRB1,HGNC:285,P08588
387,ADRB2,HGNC:286,P07550
388,ADRB3,HGNC:288,P13945
389,ADRM1,HGNC:15759,Q16186
390,ADSL,HGNC:291,P30566
391,ADSS1,HGNC:20093,Q8N142
392,ADSS2,HGNC:292,P30520
393,ADTRP,HGNC:21214,Q96IZ2
394,AEBP1,HGNC:303,Q8IUX7
395,AEBP2,HGNC:24051,Q6ZN18
396,AEN,HGNC:25722,Q8WTP8
397,AFAP1,HGNC:24017,Q8N556
398,AFAP1L1,HGNC:26714,Q8TED9
399,AFAP1L2,HGNC:25901,Q8N4X5
400,AFDN,HGNC:7137,P55196
401,AFF1,HGNC:7135,P51825
402,AFF2,HGNC:3776,P51816
403,AFF3,HGNC:6473,P51826
404,AFF4,HGNC:17869,Q9UHB7
405,AFG1L,HGNC:16411,Q8WV93
406,AFG2A,HGNC:18119,Q8NB90
407,AFG2B,HGNC:28762,Q9BVQ7
408,AFG3L2,HGNC:315,Q9Y4W6
409,AFM,HGNC:316,P43652
410,AFMID,HGNC:20910,Q63HM1
411,AFP,HGNC:317,P02771
412,AFTPH,HGNC:25951,Q6ULP2
413,AGA,HGNC:318,P20933
414,AGAP1,HGNC:16922,Q9UPQ3
415,AGAP2,HGNC:16921,Q99490
416,AGAP3,HGNC:16923,Q96P47
417,AGAP4,HGNC:23459,Q96P64
418,AGAP5,HGNC:23467,A6NIR3
419,AGAP6,HGNC:23466,Q5VW22
420,AGAP9,HGNC:23463,Q5VTM2
421,AGBL1,HGNC:26504,Q96MI9
422,AGBL2,HGNC:26296,Q5U5Z8
423,AGBL3,HGNC:27981,Q8NEM8
424,AGBL4,HGNC:25892,Q5VU57
425,AGBL5,HGNC:26147,Q8NDL9
426,AGER,HGNC:320,Q15109
427,AGFG1,HGNC:5175,P52594
428,AGFG2,HGNC:5177,O95081
429,AGGF1,HGNC:24684,Q8N302
430,AGK,HGNC:21869,Q53H12
431,AGL,HGNC:321,P35573
432,AGMAT,HGNC:18407,Q9BSE5
433,AGMO,HGNC:33784,Q6ZNB7
434,AGO1,HGNC:3262,Q9UL18
435,AGO2,HGNC:3263,Q9UKV8
436,AGO3,HGNC:18421,Q9H9G7
437,AGO4,HGNC:18424,Q9HCK5
438,AGPAT1,HGNC:324,Q99943
439,AGPAT2,HGNC:325,O15120
440,AGPAT3,HGNC:326,Q9NRZ7
441,AGPAT4,HGNC:20885,Q9NRZ5
442,AGPAT5,HGNC:20886,Q9NUQ2
443,AGPS,HGNC:327,O00116
444,AGR2,HGNC:328,O95994
445,AGR3,HGNC:24167,Q8TD06
446,AGRN,HGNC:329,O00468
447,AGRP,HGNC:330,O00253
448,AGT,HGNC:333,P01019
449,AGTPBP1,HGNC:17258,Q9UPW5
450,AGTR1,HGNC:336,P30556
451,AGTR2,HGNC:338,P50052
452,AGTRAP,HGNC:13539,Q6RW13
453,AGXT,HGNC:341,P21549
454,AGXT2,HGNC:14412,Q9BYV1
455,AHCTF1,HGNC:24618,Q8WYP5
456,AHCY,HGNC:343,P23526
457,AHCYL1,HGNC:344,O43865
458,AHCYL2,HGNC:22204,Q96HN2
459,AHDC1,HGNC:25230,Q5TGY3
460,AHI1,HGNC:21575,Q8N157
461,AHNAK,HGNC:347,Q09666
462,AHNAK2,HGNC:20125,Q8IVF2
463,AHR,HGNC:348,P35869
464,AHRR,HGNC:346,A9YTQ3
465,AHSA1,HGNC:1189,O95433
466,AHSG,HGNC:349,P02765
467,AHSP,HGNC:18075,Q9NZD4
468,AICDA,HGNC:13203,Q9GZX7
469,AIDA,HGNC:25761,Q96BJ3
470,AIF1,HGNC:352,P55008
471,AIF1L,HGNC:28904,Q9BQI0
472,AIFM1,HGNC:8768,O95831
473,AIFM2,HGNC:21411,Q9BRQ8
474,AIFM3,HGNC:26398,Q96NN9
475,AIG1,HGNC:21607,Q9NVV5
476,AIM2,HGNC:357,O14862
477,AIMP1,HGNC:10648,Q12904
478,AIMP2,HGNC:20609,Q13155
479,AIP,HGNC:358,O00170
480,AIPL1,HGNC:359,Q9NZN9
481,AIRE,HGNC:360,O43918
482,AIRIM,HGNC:26039,Q9NX04
483,AJAP1,HGNC:30801,Q9UKB5
484,AJM1,HGNC:37284,C9J069
485,AJUBA,HGNC:20250,Q96IF1
486,AK1,HGNC:361,P00568
487,AK2,HGNC:362,P54819
488,AK3,HGNC:17376,Q9UIJ7
489,AK4,HGNC:363,P27144
490,AK5,HGNC:365,Q9Y6K8
491,AK6,HGNC:49151,Q9Y3D8
492,AK7,HGNC:20091,Q96M32
493,AK8,HGNC:26526,Q96MA6
494,AK9,HGNC:33814,Q5TCS8
495,AKAIN1,HGNC:28285,P0CW23
496,AKAP1,HGNC:367,Q92667
497,AKAP3,HGNC:373,O75969
498,AKAP4,HGNC:374,Q5JQC9
499,AKAP5,HGNC:375,P24588
500,AKAP6,HGNC:376,Q13023
501,AKAP7,HGNC:377,O43687
,,,Q9P0M2
502,AKAP8,HGNC:378,O43823
503,AKAP8L,HGNC:29857,Q9ULX6
504,AKAP9,HGNC:379,Q99996
505,AKAP10,HGNC:368,O43572
506,AKAP11,HGNC:369,Q9UKA4
507,AKAP12,HGNC:370,Q02952
508,AKAP13,HGNC:371,Q12802
509,AKAP14,HGNC:24061,Q86UN6
510,AKAP17A,HGNC:18783,Q02040
511,AKIP1,HGNC:1170,Q9NQ31
512,AKIRIN1,HGNC:25744,Q9H9L7
513,AKIRIN2,HGNC:21407,Q53H80
514,AKNA,HGNC:24108,Q7Z591
515,AKNAD1,HGNC:28398,Q5T1N1
516,AKR1A1,HGNC:380,P14550
517,AKR1B1,HGNC:381,P15121
518,AKR1B10,HGNC:382,O60218
519,AKR1B15,HGNC:37281,C9JRZ8
520,AKR1C1,HGNC:384,Q04828
521,AKR1C2,HGNC:385,P52895
522,AKR1C3,HGNC:386,P42330
523,AKR1C4,HGNC:387,P17516
524,AKR1C8,HGNC:23469,Q5T2L2
525,AKR1D1,HGNC:388,P51857
526,AKR1E2,HGNC:23437,Q96JD6
527,AKR7A2,HGNC:389,O43488
528,AKR7A3,HGNC:390,O95154
529,AKR7L,HGNC:24056,Q8NHP1
530,AKT1,HGNC:391,P31749
531,AKT1S1,HGNC:28426,Q96B36
532,AKT2,HGNC:392,P31751
533,AKT3,HGNC:393,Q9Y243
534,AKTIP,HGNC:16710,Q9H8T0
535,ALAD,HGNC:395,P13716
536,ALAS1,HGNC:396,P13196
537,ALAS2,HGNC:397,P22557
538,ALB,HGNC:399,P02768
539,ALCAM,HGNC:400,Q13740
540,ALDH1A1,HGNC:402,P00352
541,ALDH1A2,HGNC:15472,O94788
542,ALDH1A3,HGNC:409,P47895
543,ALDH1B1,HGNC:407,P30837
544,ALDH1L1,HGNC:3978,O75891
545,ALDH1L2,HGNC:26777,Q3SY69
546,ALDH2,HGNC:404,P05091
547,ALDH3A1,HGNC:405,P30838
548,ALDH3A2,HGNC:403,P51648
549,ALDH3B1,HGNC:410,P43353
550,ALDH3B2,HGNC:411,P48448
551,ALDH4A1,HGNC:406,P30038
552,ALDH5A1,HGNC:408,P51649
553,ALDH6A1,HGNC:7179,Q02252
554,ALDH7A1,HGNC:877,P49419
555,ALDH8A1,HGNC:15471,Q9H2A2
556,ALDH9A1,HGNC:412,P49189
557,ALDH16A1,HGNC:28114,Q8IZ83
558,ALDH18A1,HGNC:9722,P54886
559,ALDOA,HGNC:414,P04075
560,ALDOB,HGNC:417,P05062
561,ALDOC,HGNC:418,P09972
562,ALG1,HGNC:18294,Q9BT22
563,ALG1L2,HGNC:37258,C9J202
564,ALG2,HGNC:23159,Q9H553
565,ALG3,HGNC:23056,Q92685
566,ALG5,HGNC:20266,Q9Y673
567,ALG6,HGNC:23157,Q9Y672
568,ALG8,HGNC:23161,Q9BVK2
569,ALG9,HGNC:15672,Q9H6U8
570,ALG10,HGNC:23162,Q5BKT4
571,ALG10B,HGNC:31088,Q5I7T1
572,ALG11,HGNC:32456,Q2TAA5
573,ALG12,HGNC:19358,Q9BV10
574,ALG13,HGNC:30881,Q9NP73
575,ALG14,HGNC:28287,Q96F25
576,ALK,HGNC:427,Q9UM73
577,ALKAL1,HGNC:33775,Q6UXT8
578,ALKAL2,HGNC:27683,Q6UX46
579,ALKBH1,HGNC:17911,Q13686
580,ALKBH2,HGNC:32487,Q6NS38
581,ALKBH3,HGNC:30141,Q96Q83
582,ALKBH4,HGNC:21900,Q9NXW9
583,ALKBH5,HGNC:25996,Q6P6C2
584,ALKBH6,HGNC:28243,Q3KRA9
585,ALKBH7,HGNC:21306,Q9BT30
586,ALKBH8,HGNC:25189,Q96BT7
587,ALLC,HGNC:17377,Q8N6M5
588,ALMS1,HGNC:428,Q8TCU4
589,ALOX5,HGNC:435,P09917
590,ALOX5AP,HGNC:436,P20292
591,ALOX12,HGNC:429,P18054
592,ALOX12B,HGNC:430,O75342
593,ALOX15,HGNC:433,P16050
594,ALOX15B,HGNC:434,O15296
595,ALOXE3,HGNC:13743,Q9BYJ1
596,ALPG,HGNC:441,P10696
597,ALPI,HGNC:437,P09923
598,ALPK1,HGNC:20917,Q96QP1
599,ALPK2,HGNC:20565,Q86TB3
600,ALPK3,HGNC:17574,Q96L96
601,ALPL,HGNC:438,P05186
602,ALPP,HGNC:439,P05187
603,ALS2,HGNC:443,Q96Q42
604,ALS2CL,HGNC:20605,Q60I27
605,ALX1,HGNC:1494,Q15699
606,ALX3,HGNC:449,O95076
607,ALX4,HGNC:450,Q9H161
608,ALYREF,HGNC:19071,Q86V81
609,AMACR,HGNC:451,Q9UHK6
610,AMBN,HGNC:452,Q9NP70
611,AMBP,HGNC:453,P02760
612,AMBRA1,HGNC:25990,Q9C0C7
613,AMD1,HGNC:457,P17707
614,AMDHD1,HGNC:28577,Q96NU7
615,AMDHD2,HGNC:24262,Q9Y303
616,AMELX,HGNC:461,Q99217
617,AMELY,HGNC:462,Q99218
618,AMER1,HGNC:26837,Q5JTC6
619,AMER2,HGNC:26360,Q8N7J2
620,AMER3,HGNC:26771,Q8N944
621,AMFR,HGNC:463,Q9UKV5
622,AMH,HGNC:464,P03971
623,AMHR2,HGNC:465,Q16671
624,AMIGO1,HGNC:20824,Q86WK6
625,AMIGO2,HGNC:24073,Q86SJ2
626,AMIGO3,HGNC:24075,Q86WK7
627,AMMECR1,HGNC:467,Q9Y4X0
628,AMMECR1L,HGNC:28658,Q6DCA0
629,AMN,HGNC:14604,Q9BXJ7
630,AMN1,HGNC:27281,Q8IY45
631,AMOT,HGNC:17810,Q4VCS5
632,AMOTL1,HGNC:17811,Q8IY63
633,AMOTL2,HGNC:17812,Q9Y2J4
634,AMPD1,HGNC:468,P23109
635,AMPD2,HGNC:469,Q01433
636,AMPD3,HGNC:470,Q01432
637,AMPH,HGNC:471,P49418
638,AMT,HGNC:473,P48728
639,AMTN,HGNC:33188,Q6UX39
640,AMY1A,HGNC:474,P0DUB6
641,AMY1B,HGNC:475,P0DTE7
